code;title;section;is_foil
ESP5;Dean Huijsen;Spain;FALSE
ESP6;Pedro Porro;Spain;FALSE
ESP7;Dani Carvajal;Spain;FALSE
ESP8;Marc Cucurella;Spain;FALSE
ESP9;Martín Zubimendi;Spain;FALSE
ESP10;Rodri;Spain;FALSE
ESP11;Pedri;Spain;FALSE
ESP12;Fabian Ruiz;Spain;FALSE
ESP13;Team Photo;Spain;FALSE
ESP14;Mikel Merino;Spain;FALSE
ESP15;Lamine Yamal;Spain;FALSE
ESP16;Dani Olmo;Spain;FALSE
ESP17;Nico Williams;Spain;FALSE
ESP18;Ferran Torres;Spain;FALSE
ESP19;Álvaro Morata;Spain;FALSE
ESP20;Mikel Oyarzabal;Spain;FALSE
CPV1;Emblem;Cape Verde;TRUE
CPV2;Vozinha;Cape Verde;FALSE
CPV3;Logan Costa;Cape Verde;FALSE
CPV4;Pico;Cape Verde;FALSE
CPV5;Diney;Cape Verde;FALSE
CPV6;Steven Moreira;Cape Verde;FALSE
CPV7;Wagner Pina;Cape Verde;FALSE
CPV8;Joao Paulo;Cape Verde;FALSE
CPV9;Yannick Semedo;Cape Verde;FALSE
CPV10;Kevin Pina;Cape Verde;FALSE
CPV11;Patrick Andrade;Cape Verde;FALSE
CPV12;Jamiro Monteiro;Cape Verde;FALSE
CPV13;Team Photo;Cape Verde;FALSE
CPV14;Deroy Duarte;Cape Verde;FALSE
CPV15;Garry Rodrigues;Cape Verde;FALSE
CPV16;Jovane Cabral;Cape Verde;FALSE
CPV17;Ryan Mendes;Cape Verde;FALSE
CPV18;Dailon Livramento;Cape Verde;FALSE
CPV19;Willy Semedo;Cape Verde;FALSE
CPV20;Bebe;Cape Verde;FALSE
KSA1;Emblem;Saudi Arabia;TRUE
KSA2;Nawaf Alaqidi;Saudi Arabia;FALSE
KSA3;Abdulrahman Al-Sanbi;Saudi Arabia;FALSE
KSA4;Saud Abdulhamid;Saudi Arabia;FALSE
KSA5;Nawaf Bouwashl;Saudi Arabia;FALSE
KSA6;Jihad Thakri;Saudi Arabia;FALSE
KSA7;Moteb Al-Harbi;Saudi Arabia;FALSE
KSA8;Hassan Altambakti;Saudi Arabia;FALSE
KSA9;Musab Aljuwayr;Saudi Arabia;FALSE
KSA10;Ziyad Aljohani;Saudi Arabia;FALSE
KSA11;Abdullah Alkhaibari;Saudi Arabia;FALSE
KAS12;Nasser Aldawsari;Saudi Arabia;FALSE
KSA13;Team Photo;Saudi Arabia;FALSE
KSA14;Saleh Abu Alshamat;Saudi Arabia;FALSE
KSA15;Marwan Alsahafi;Saudi Arabia;FALSE
KSA16;Salem Aldawsari;Saudi Arabia;FALSE
KSA17;Abdulrahman Al-Aboud;Saudi Arabia;FALSE
KSA18;Feras Akbrikan;Saudi Arabia;FALSE
KSA19;Saleh Alshehri;Saudi Arabia;FALSE
KSA20;Abdullah Al-Hamdan;Saudi Arabia;FALSE
URU1;Emblem;Uruguay;TRUE
URU2;Sergio Rochet;Uruguay;FALSE
URU3;Santiago Mele;Uruguay;FALSE
URU4;Ronald Araujo;Uruguay;FALSE
URU5;José María Giménez;Uruguay;FALSE
URU6;Sebastian Caceres;Uruguay;FALSE
URU7;Mathias Olivera;Uruguay;FALSE
URU8;Guillermo Varela;Uruguay;FALSE
URU9;Nahitan Nandez;Uruguay;FALSE
URU10;Federico Valverde;Uruguay;FALSE
URU11;Giorgian De Arrascaeta;Uruguay;FALSE
URU12;Rodrigo Bentancur;Uruguay;FALSE
URU13;Team Photo;Uruguay;FALSE
URU14;Manuel Ugarte;Uruguay;FALSE
URU15;Nicolás de la Cruz;Uruguay;FALSE
URU16;Maxi Araujo;Uruguay;FALSE
URU17;Darwin Núñez;Uruguay;FALSE
URU18;Federico Viñas;Uruguay;FALSE
URU19;Rodrigo Aguirre;Uruguay;FALSE
URU20;Facundo Pellistri;Uruguay;FALSE
FRA1;Emblem;France;TRUE
FRA2;Mike Maignan;France;FALSE
FRA3;Theo Hernandez;France;FALSE
FRA4;William Saliba;France;FALSE
FRA5;Jules Kounde;France;FALSE
FRA6;Ibrahima Konate;France;FALSE
FRA7;Dayot Upamecano;France;FALSE
FRA8;Lucas Digne;France;FALSE
FRA9;Aurélien Tchouaméni;France;FALSE
FRA10;Eduardo Camavinga;France;FALSE
FRA11;Manu Kone;France;FALSE
FRA12;Adrien Rabiot;France;FALSE
FRA13;Team Photo;France;FALSE
FRA14;Michael Olise;France;FALSE
FRA15;Ousmane Dembele;France;FALSE
FRA16;Bradley Barcola;France;FALSE
FRA17;Désiré Doué;France;FALSE
FRA18;Kingsley Coman;France;FALSE
FRA19;Hugo Ekitike;France;FALSE
FRA20;Kylian Mbappe;France;FALSE
SEN1;Emblem;Senegal;TRUE
SEN2;Edouard Mendy;Senegal;FALSE
SEN3;Yehvann Diouf;Senegal;FALSE
SEN4;Moussa Niakhaté;Senegal;FALSE
SEN5;Abdoulaye Seck;Senegal;FALSE
SEN6;Ismail Jakobs;Senegal;FALSE
SEN7;El Hadji Malick Diouf;Senegal;FALSE
SEN8;Kalidou Koulibaly;Senegal;FALSE
SEN9;Idrissa Gana Gueye;Senegal;FALSE
SEN10;Pape Matar Sarr;Senegal;FALSE
SEN11;Pape Gueye;Senegal;FALSE
SEN12;Habib Diarra;Senegal;FALSE
SEN13;Team Photo;Senegal;FALSE
SEN14;Lamine Camara;Senegal;FALSE
SEN15;Sadio Mane;Senegal;FALSE
SEN16;Ismaïla Sarr;Senegal;FALSE
SEN17;Boulaye Dia;Senegal;FALSE
SEN18;Iliman Ndiaye;Senegal;FALSE
SEN19;Nicolas Jackson;Senegal;FALSE
SEN20;Krepin Diatta;Senegal;FALSE
IRQ1;Emblem;Iraq;TRUE
IRQ2;Jalal Hassan;Iraq;FALSE
IRQ3;Rebin Sulaka;Iraq;FALSE
IRQ4;Hussein Ali;Iraq;FALSE
IRQ5;Akam Hashem;Iraq;FALSE
IRQ6;Merchas Doski;Iraq;FALSE
IRQ7;Zaid Tahseen;Iraq;FALSE
IRQ8;Manaf Younis;Iraq;FALSE
IRQ9;Zidane Iqbal;Iraq;FALSE
IRQ10;Amir Al-Ammari;Iraq;FALSE
IRQ11;Ibrahim Bavesh;Iraq;FALSE
IRQ12;Ali Jasim;Iraq;FALSE
IRQ13;Team Photo;Iraq;FALSE
IRQ14;Youssef Amyn;Iraq;FALSE
IRQ15;Aimar Sher;Iraq;FALSE
IRQ16;Marko Farji;Iraq;FALSE
IRQ17;Osama Rashid;Iraq;FALSE
IRQ18;Ali Al-Hamadi;Iraq;FALSE
IRQ19;Aymen Hussein;Iraq;FALSE
IRQ20;Mohanad Ali;Iraq;FALSE
NOR1;Emblem;Norway;TRUE
NOR2;Orjan Nyland;Norway;FALSE
NOR3;Julian Ryerson;Norway;FALSE
NOR4;Leo Ostigård;Norway;FALSE
NOR5;Kristoffer Vassbakk Ajer;Norway;FALSE
NOR6;Marcus Holmgren Pedersen;Norway;FALSE
NOR7;David Møller Wolfe;Norway;FALSE
NOR8;Torbjørn Heggem;Norway;FALSE
NOR9;Morten Thorsby;Norway;FALSE
NOR10;Martin Ødegaard;Norway;FALSE
NOR11;Sander Berge;Norway;FALSE
NOR12;Andreas Schjelderup;Norway;FALSE
NOR13;Team Photo;Norway;FALSE
NOR14;Patrick Berg;Norway;FALSE
NOR15;Erling Haaland;Norway;FALSE
NOR16;Alexander Sørloth;Norway;FALSE
NOR17;Aron Dønnum;Norway;FALSE
NOR18;Jorgen Strand Larsen;Norway;FALSE
NOR19;Antonio Nusa;Norway;FALSE
NOR20;Oscar Bobb;Norway;FALSE
ARG1;Emblem;Argentina;TRUE
ARG2;Emiliano Martinez;Argentina;FALSE
ARG3;Nahuel Molina;Argentina;FALSE
ARG4;Cristian Romero;Argentina;FALSE
ARG5;Nicolas Otamendi;Argentina;FALSE
ARG6;Nicolas Tagliafico;Argentina;FALSE
ARG7;Leonardo Balerdi;Argentina;FALSE
ARG8;Enzo Fernandez;Argentina;FALSE
ARG9;Alexis Mac Allister;Argentina;FALSE
ARG10;Rodrigo De Paul;Argentina;FALSE
ARG11;Exequiel Palacios;Argentina;FALSE
ARG12;Leandro Paredes;Argentina;FALSE
ARG13;Team Photo;Argentina;FALSE
ARG14;Nico Paz;Argentina;FALSE
ARG15;Franco Mastantuono;Argentina;FALSE
ARG16;Nico Gonzalez;Argentina;FALSE
ARG17;Lionel Messi;Argentina;FALSE
ARG18;Lautaro Martinez;Argentina;FALSE
ARG19;Julian Alvarez;Argentina;FALSE
ARG20;Giuliano Simeone;Argentina;FALSE
ALG1;Emblem;Algeria;TRUE
ALG2;Alexis Guendouz;Algeria;FALSE
ALG3;Ramy Bensebaini;Algeria;FALSE
ALG4;Youcef Atal;Algeria;FALSE
ALG5;Rayan Aït-Nouri;Algeria;FALSE
ALG6;Mohamed Amine Tougai;Algeria;FALSE
ALG7;Aïssa Mandi;Algeria;FALSE
ALG8;Ismael Bennacer;Algeria;FALSE
ALG9;Houssem Aquar;Algeria;FALSE
ALG10;Hicham Boudaoui;Algeria;FALSE
ALG11;Ramiz Zerrouki;Algeria;FALSE
ALG12;Nabil Bentalab;Algeria;FALSE
ALG13;Team Photo;Algeria;FALSE
ALG14;Farés Chaibi;Algeria;FALSE
ALG15;Riyad Mahrez;Algeria;FALSE
ALG16;Said Benrahma;Algeria;FALSE
ALG17;Anis Hadj Moussa;Algeria;FALSE
ALG18;Amine Gouiri;Algeria;FALSE
ALG19;Baghdad Bounedjah;Algeria;FALSE
ALG20;Mohammed Amoura;Algeria;FALSE
AUT1;Emblem;Austria;TRUE
AUT2;Alexander Schlager;Austria;FALSE
AUT3;Patrick Pentz;Austria;FALSE
AUT4;David Alaba;Austria;FALSE
AUT5;Kevin Danso;Austria;FALSE
AUT6;Philipp Lienhart;Austria;FALSE
AUT7;Stefan Posch;Austria;FALSE
AUT8;Phillipp Mwene;Austria;FALSE
AUT9;Alexander Prass;Austria;FALSE
AUT10;Xaver Schlager;Austria;FALSE
AUT11;Marcel Sabitzer;Austria;FALSE
AUT12;Konrad Laimer;Austria;FALSE
AUT13;Team Photo;Austria;FALSE
AUT14;Florian Grillitsch;Austria;FALSE
AUT15;Nicolas Seiwald;Austria;FALSE
AUT16;Romano Schmid;Austria;FALSE
AUT17;Patrick Wimmer;Austria;FALSE
AUT18;Christoph Baumgartner;Austria;FALSE
AUT19;Michael Gregoritsch;Austria;FALSE
AUT20;Marko Arnautović;Austria;FALSE
JOR1;Emblem;Jordan;TRUE
JOR2;Yazeed Abulaila;Jordan;FALSE
JOR3;Ihsan Haddad;Jordan;FALSE
JOR4;Mohammad Abu Hashish;Jordan;FALSE
JOR5;Yazan Al-Arab;Jordan;FALSE
JOR6;Abdallah Nasib;Jordan;FALSE
JOR7;Saleem Obaid;Jordan;FALSE
JOR8;Mohammad Abualnadi;Jordan;FALSE
JOR9;Ibrahim Saadeh;Jordan;FALSE
JOR10;Nizar Al-Rashdan;Jordan;FALSE
JOR11;Noor Al-Rawabdeh;Jordan;FALSE
JOR12;Mohannad Abu Taha;Jordan;FALSE
JOR13;Team Photo;Jordan;FALSE
JOR14;Amer Jamous;Jordan;FALSE
JOR15;Musa Al-Taamari;Jordan;FALSE
JOR16;Yazan Al-Naimat;Jordan;FALSE
JOR17;Mahmoud Al-Mardi;Jordan;FALSE
JOR18;Ali Olwan;Jordan;FALSE
JOR19;Mohammad Abu Zrayq;Jordan;FALSE
JOR20;Ibrahim Sabra;Jordan;FALSE
POR1;Emblem;Portugal;TRUE
POR2;Diogo Costa;Portugal;FALSE
POR3;Jose Sá;Portugal;FALSE
POR4;Rubén Dias;Portugal;FALSE
POR5;João Cancelo;Portugal;FALSE
POR6;Diogo Dalot;Portugal;FALSE
POR7;Nuno Mendes;Portugal;FALSE
POR8;Gonçalo Inácio;Portugal;FALSE
POR9;Bernardo Silva;Portugal;FALSE
POR10;Bruno Fernandes;Portugal;FALSE
POR11;Rubén Neves;Portugal;FALSE
POR12;Vitinha;Portugal;FALSE
POR13;Team Photo;Portugal;FALSE
POR14;João Neves;Portugal;FALSE
POR15;Cristiano Ronaldo;Portugal;FALSE
POR16;Francisco Trincão;Portugal;FALSE
POR17;João Félix;Portugal;FALSE
POR18;Gonçalo Ramos;Portugal;FALSE
POR19;Pedro Neto;Portugal;FALSE
POR20;Rafael Leão;Portugal;FALSE
COD1;Emblem;Congo DR;TRUE
COD2;Lionel Mpasi;Congo DR;FALSE
COD3;Aaron Wan-Bissaka;Congo DR;FALSE
COD4;Axel Tuanzebe;Congo DR;FALSE
COD5;Arthur Masuaku;Congo DR;FALSE
COD6;Chancel Mbemba;Congo DR;FALSE
COD7;Joris Kayembe;Congo DR;FALSE
COD8;Charles Pickel;Congo DR;FALSE
COD9;Ngal'ayel Mukau;Congo DR;FALSE
COD10;Edo Kayembe;Congo DR;FALSE
COD11;Samuel Moutoussamy;Congo DR;FALSE
COD12;Noah Sadiki;Congo DR;FALSE
COD13;Team Photo;Congo DR;FALSE
COD14;Théo Bongonda;Congo DR;FALSE
COD15;Meschak Elia;Congo DR;FALSE
COD16;Yoane Wissa;Congo DR;FALSE
COD17;Brian Cipenga;Congo DR;FALSE
COD18;Fiston Mayele;Congo DR;FALSE
COD19;Cédric Bakambu;Congo DR;FALSE
COD20;Nathanaël Mbuku;Congo DR;FALSE
UZB1;Emblem;Uzbekistan;TRUE
UZB2;Utkir Yusupov;Uzbekistan;FALSE
UZB3;Farrukh Savfiev;Uzbekistan;FALSE
UZB4;Sherzod Nasrullaev;Uzbekistan;FALSE
UZB5;Umar Eshmurodov;Uzbekistan;FALSE
UZB6;Husniddin Aliqulov;Uzbekistan;FALSE
UZB7;Rustamjon Ashurmatov;Uzbekistan;FALSE
UZB8;Khojiakbar Alijonov;Uzbekistan;FALSE
UZB9;Abdukodir Khusanov;Uzbekistan;FALSE
UZB10;Odiljon Hamrobekov;Uzbekistan;FALSE
UZB11;Otabek Shukurov;Uzbekistan;FALSE
UZB12;Jamshid Iskanderov;Uzbekistan;FALSE
UZB13;Team Photo;Uzbekistan;FALSE
UZB14;Azizbek Turgunboev;Uzbekistan;FALSE
UZB15;Khojimat Erkinov;Uzbekistan;FALSE
UZB16;Eldor Shomurodov;Uzbekistan;FALSE
UZB17;Oston Urunov;Uzbekistan;FALSE
UZB18;Jaloliddin Masharipov;Uzbekistan;FALSE
UZB19;Igor Sergeev;Uzbekistan;FALSE
UZB20;Abbosbek Fayzullaev;Uzbekistan;FALSE
COL1;Emblem;Colombia;TRUE
COL2;Camilo Vargas;Colombia;FALSE
COL3;David Ospina;Colombia;FALSE
COL4;Dávinson Sánchez;Colombia;FALSE
COL5;Yerry Mina;Colombia;FALSE
COL6;Daniel Munoz;Colombia;FALSE
COL7;Johan Mojica;Colombia;FALSE
COL8;Jhon Lucumí;Colombia;FALSE
COL9;Santiago Arias;Colombia;FALSE
COL10;Jefferson Lerma;Colombia;FALSE
COL11;Kevin Castaño;Colombia;FALSE
COL12;Richard Rios;Colombia;FALSE
COL13;Team Photo;Colombia;FALSE
COL14;James Rodriguez;Colombia;FALSE
COL15;Juan Fernando Quintero;Colombia;FALSE
COL16;Jorge Carrascal;Colombia;FALSE
COL17;Jon Arias;Colombia;FALSE
COL18;Jhon Cordova;Colombia;FALSE
COL19;Luis Suarez;Colombia;FALSE
COL20;Luis Diaz;Colombia;FALSE
ENG1;Emblem;England;TRUE
ENG2;Jordan Pickford;England;FALSE
ENG3;John Stones;England;FALSE
ENG4;Marc Guéhi;England;FALSE
ENG5;Ezri Konsa;England;FALSE
ENG6;Trent Alexander-Arnold;England;FALSE
ENG7;Reece James;England;FALSE
ENG8;Dan Burn;England;FALSE
ENG9;Jordan Henderson;England;FALSE
ENG10;Declan Rice;England;FALSE
ENG11;Jude Bellingham;England;FALSE
ENG12;Cole Palmer;England;FALSE
ENG13;Team Photo;England;FALSE
ENG14;Morgan Rogers;England;FALSE
ENG15;Anthony Gordon;England;FALSE
ENG16;Phil Foden;England;FALSE
ENG17;Bukayo Saka;England;FALSE
ENG18;Harry Kane;England;FALSE
ENG19;Marcus Rashford;England;FALSE
ENG20;Ollie Watkins;England;FALSE
CRO1;Emblem;Croatia;TRUE
CRO2;Dominik Livaković;Croatia;FALSE
CRO3;Duje Caleta-Car;Croatia;FALSE
CRO4;Josko Gvardiol;Croatia;FALSE
CRO5;Josip Stanišić;Croatia;FALSE
CRO6;Luka Vušković;Croatia;FALSE
CRO7;Josip Sutalo;Croatia;FALSE
CRO8;Kristijan Jakic;Croatia;FALSE
CRO9;Luka Modrić;Croatia;FALSE
CRO10;Mateo Kovacic;Croatia;FALSE
CRO11;Martin Baturina;Croatia;FALSE
CRO12;Lovro Majer;Croatia;FALSE
CRO13;Team Photo;Croatia;FALSE
CRO14;Mario Pasalic;Croatia;FALSE
CRO15;Petar Sucic;Croatia;FALSE
CRO16;Ivan Perišić;Croatia;FALSE
CRO17;Marco Pasalic;Croatia;FALSE
CRO18;Ante Budimir;Croatia;FALSE
CRO19;Andrej Kramarić;Croatia;FALSE
CRO20;Franjo Ivanovic;Croatia;FALSE
GHA1;Emblem;Ghana;TRUE
GHA2;Lawrence Ati Zigi;Ghana;FALSE
GHA3;Tariq Lamptey;Ghana;FALSE
GHA4;Mohammed Salisu;Ghana;FALSE
GHA5;Alidu Seidu;Ghana;FALSE
GHA6;Alexander Djiku;Ghana;FALSE
GHA7;Gideon Mensah;Ghana;FALSE
GHA8;Caleb Yirenkyi;Ghana;FALSE
GHA9;Abdul Issahaku Fatawu;Ghana;FALSE
GHA10;Thomas Partey;Ghana;FALSE
GHA11;Salis Abdul Samed;Ghana;FALSE
GHA12;Kamaldeen Sulemana;Ghana;FALSE
GHA13;Team Photo;Ghana;FALSE
GHA14;Mohammed Kudus;Ghana;FALSE
GHA15;Inaki Williams;Ghana;FALSE
GHA16;Jordan Ayew;Ghana;FALSE
GHA17;Andrew Ayew;Ghana;FALSE
GHA18;Joseph Paintsil;Ghana;FALSE
GHA19;Osman Bukari;Ghana;FALSE
GHA20;Antoine Semenyo;Ghana;FALSE
PAN1;Emblem;Panama;TRUE
PAN2;Orlando Mosquera;Panama;FALSE
PAN3;Luis Mejia;Panama;FALSE
PAN4;Fidel Escobar;Panama;FALSE
PAN5;Andres Andrade;Panama;FALSE
PAN6;Michael Amir Murillo;Panama;FALSE
PAN7;Eric Davis;Panama;FALSE
PAN8;Jose Cordoba;Panama;FALSE
PAN9;Cesar Blackman;Panama;FALSE
PAN10;Cristian Martinez;Panama;FALSE
PAN11;Aníbal Godoy;Panama;FALSE
PAN12;Adalberto Carrasquilla;Panama;FALSE
PAN13;Team Photo;Panama;FALSE
PAN14;Édgar Bárcenas;Panama;FALSE
PAN15;Carlos Harvey;Panama;FALSE
PAN16;Ismael Díaz;Panama;FALSE
PAN17;Jose Fajardo;Panama;FALSE
PAN18;Cecilio Waterman;Panama;FALSE
PAN19;Jose Luiz Rodriguez;Panama;FALSE
PAN20;Alberto Quintero;Panama;FALSE
FWC9;Italy 1934;FIFA World Cup History;TRUE
FWC10;Uruguay 1950;FIFA World Cup History;TRUE
FWC11;West Germany 1954;FIFA World Cup History;TRUE
FWC12;Brazil 1962;FIFA World Cup History;TRUE
FWC13;West Germany 1974;FIFA World Cup History;TRUE
FWC14;Argentina 1986;FIFA World Cup History;TRUE
FWC15;Brazil 1994;FIFA World Cup History;TRUE
FWC16;Brazil 2002;FIFA World Cup History;TRUE
FWC17;Italy 2006;FIFA World Cup History;TRUE
FWC18;Germany 2014;FIFA World Cup History;TRUE
FWC19;Argentina 2022;FIFA World Cup History;TRUE
