code;title;section;is_foil
BIH18;Edin Dzeko;Bosnia and Herzegovina;FALSE
BIH19;Samed Bazdar;Bosnia and Herzegovina;FALSE
BIH20;Haris Tabakovic;Bosnia and Herzegovina;FALSE
QAT1;Emblem;Qatar;TRUE
QAT2;Meshaal Barsham;Qatar;FALSE
QAT3;Sultan Albrake;Qatar;FALSE
QAT4;Lucas Mendes;Qatar;FALSE
QAT5;Homam Ahmed;Qatar;FALSE
QAT6;Boualem Khoukhi;Qatar;FALSE
QAT7;Pedro Miguel;Qatar;FALSE
QAT8;Tarek Salman;Qatar;FALSE
QAT9;Mohamed Al-Mannai;Qatar;FALSE
QAT10;Karim Boudiaf;Qatar;FALSE
QAT11;Assim Madibo;Qatar;FALSE
QAT12;Ahmed Fatehi;Qatar;FALSE
QAT13;Team Photo;Qatar;FALSE
QAT14;Mohammed Waad;Qatar;FALSE
QAT15;Abdulaziz Hatem;Qatar;FALSE
QAT16;Hassan Al-Haydos;Qatar;FALSE
QAT17;Edmilson Junior;Qatar;FALSE
QAT18;Akram Hassan Afif;Qatar;FALSE
QAT19;Ahmed Al Ganehi;Qatar;FALSE
QAT20;Almoez Ali;Qatar;FALSE
SUI1;Emblem;Switzerland;TRUE
SUI2;Gregor Kobel;Switzerland;FALSE
SUI3;Yvon Mvogo;Switzerland;FALSE
SUI4;Manuel Akanji;Switzerland;FALSE
SUI5;Ricardo Rodriguez;Switzerland;FALSE
SUI6;Nico Elvedi;Switzerland;FALSE
SUI7;Aurèle Amenda;Switzerland;FALSE
SUI8;Silvan Widmer;Switzerland;FALSE
SUI9;Granit Xhaka;Switzerland;FALSE
SUI10;Denis Zakaria;Switzerland;FALSE
SUI11;Remo Freuler;Switzerland;FALSE
SUI12;Fabian Rieder;Switzerland;FALSE
SUI13;Team Photo;Switzerland;FALSE
SUI14;Ardon Jashari;Switzerland;FALSE
SUI15;Johan Manzambi;Switzerland;FALSE
SUI16;Michel Aebischer;Switzerland;FALSE
SUI17;Breel Embolo;Switzerland;FALSE
SUI18;Ruben Vargas;Switzerland;FALSE
SUI19;Dan Ndoye;Switzerland;FALSE
SUI20;Zeki Amdouni;Switzerland;FALSE
BRA1;Emblem;Brazil;TRUE
BRA2;Alisson;Brazil;FALSE
BRA3;Bento;Brazil;FALSE
BRA4;Marquinhos;Brazil;FALSE
BRA5;Éder Militão;Brazil;FALSE
BRA6;Gabriel Magalhães;Brazil;FALSE
BRA7;Danilo;Brazil;FALSE
BRA8;Wesley;Brazil;FALSE
BRA9;Lucas Paquetá;Brazil;FALSE
BRA10;Casemiro;Brazil;FALSE
BRA11;Bruno Guimarães;Brazil;FALSE
BRA12;Luiz Henrique;Brazil;FALSE
BRA13;Team Photo;Brazil;FALSE
BRA14;Vinicius Júnior;Brazil;FALSE
BRA15;Rodrygo;Brazil;FALSE
BRA16;João Pedro;Brazil;FALSE
BRA17;Matheus Cunha;Brazil;FALSE
BRA18;Gabriel Martinelli;Brazil;FALSE
BRA19;Raphinha;Brazil;FALSE
BRA20;Estévão;Brazil;FALSE
MAR1;Emblem;Morocco;TRUE
MAR2;Yassine Bounou;Morocco;FALSE
MAR3;Munir El Kajoui;Morocco;FALSE
MAR4;Achraf Hakimi;Morocco;FALSE
MAR5;Noussair Mazraoui;Morocco;FALSE
MAR6;Nayef Aguerd;Morocco;FALSE
MAR7;Roman Saiss;Morocco;FALSE
MAR8;Jawad El Yamio;Morocco;FALSE
MAR9;Adam Masina;Morocco;FALSE
MAR10;Sofyan Amrabat;Morocco;FALSE
MAR11;Azzedine Ounahi;Morocco;FALSE
MAR12;Eliesse Ben Seghir;Morocco;FALSE
MAR13;Team Photo;Morocco;FALSE
MAR14;Bilal El Khannouss;Morocco;FALSE
MAR15;Ismael Saibari;Morocco;FALSE
MAR16;Youssef En-Nesyri;Morocco;FALSE
MAR17;Abde Ezzalzouli;Morocco;FALSE
MAR18;Soufiane Rahimi;Morocco;FALSE
MAR19;Brahim Diaz;Morocco;FALSE
MAR20;Ayoub El Kaabi;Morocco;FALSE
HAI1;Emblem;Haiti;TRUE
HAI2;Johny Placide;Haiti;FALSE
HAI3;Carlens Arcus;Haiti;FALSE
HAI4;Martin Expérience;Haiti;FALSE
HAI5;Jean-Kevin Duverne;Haiti;FALSE
HAI6;Ricardo Adé;Haiti;FALSE
HAI7;Duke Lacroix;Haiti;FALSE
HAI8;Garven Metusala;Haiti;FALSE
HAI9;Hannes Delcroix;Haiti;FALSE
HAI10;Leverton Pierre;Haiti;FALSE
HAI11;Danley Jean Jacques;Haiti;FALSE
HAI12;Jean-Ricner Bellegarde;Haiti;FALSE
HAI13;Team Photo;Haiti;FALSE
HAI14;Christopher Attys;Haiti;FALSE
HAI15;Derrick Etienne Jr;Haiti;FALSE
HAI16;Josue Casimir;Haiti;FALSE
HAI17;Ruben Providence;Haiti;FALSE
HAI18;Duckens Nazon;Haiti;FALSE
HAI19;Louicius Deedson;Haiti;FALSE
